Date,Region,Indicator,Value
2000-12-31,KHM,HepB3_coverage_pct,0.0
2000-12-31,KHM,MCV1_measles_coverage_pct,65.0
2000-12-31,KIR,BCG_coverage_pct,80.0
2000-12-31,KIR,DTP3_coverage_pct,90.0
2000-12-31,KIR,HepB3_coverage_pct,90.0
2000-12-31,KIR,MCV1_measles_coverage_pct,80.0
2000-12-31,KNA,BCG_coverage_pct,99.0
2000-12-31,KNA,DTP3_coverage_pct,99.0
2000-12-31,KNA,HepB3_coverage_pct,99.0
2000-12-31,KNA,MCV1_measles_coverage_pct,99.0
2000-12-31,KOR,BCG_coverage_pct,73.0
2000-12-31,KOR,DTP3_coverage_pct,97.0
2000-12-31,KOR,HepB3_coverage_pct,93.0
2000-12-31,KOR,MCV1_measles_coverage_pct,95.0
2000-12-31,KWT,DTP3_coverage_pct,98.0
2000-12-31,KWT,HepB3_coverage_pct,95.0
2000-12-31,KWT,MCV1_measles_coverage_pct,99.0
2000-12-31,LAO,BCG_coverage_pct,69.0
2000-12-31,LAO,DTP3_coverage_pct,51.0
2000-12-31,LAO,HepB3_coverage_pct,0.0
2000-12-31,LAO,MCV1_measles_coverage_pct,42.0
2000-12-31,LBN,DTP3_coverage_pct,83.0
2000-12-31,LBN,HepB3_coverage_pct,83.0
2000-12-31,LBN,MCV1_measles_coverage_pct,71.0
2000-12-31,LBR,BCG_coverage_pct,78.0
2000-12-31,LBR,DTP3_coverage_pct,48.0
2000-12-31,LBR,HepB3_coverage_pct,0.0
2000-12-31,LBR,MCV1_measles_coverage_pct,63.0
2000-12-31,LBY,BCG_coverage_pct,98.0
2000-12-31,LBY,DTP3_coverage_pct,94.0
2000-12-31,LBY,HepB3_coverage_pct,92.0
2000-12-31,LBY,MCV1_measles_coverage_pct,93.0
2000-12-31,LCA,BCG_coverage_pct,91.0
2000-12-31,LCA,DTP3_coverage_pct,70.0
2000-12-31,LCA,HepB3_coverage_pct,0.0
2000-12-31,LCA,MCV1_measles_coverage_pct,88.0
2000-12-31,LKA,BCG_coverage_pct,98.0
2000-12-31,LKA,DTP3_coverage_pct,99.0
2000-12-31,LKA,HepB3_coverage_pct,0.0
2000-12-31,LKA,MCV1_measles_coverage_pct,99.0
2000-12-31,LSO,BCG_coverage_pct,88.0
2000-12-31,LSO,DTP3_coverage_pct,84.0
2000-12-31,LSO,HepB3_coverage_pct,0.0
2000-12-31,LSO,MCV1_measles_coverage_pct,74.0
2000-12-31,LTU,BCG_coverage_pct,99.0
2000-12-31,LTU,DTP3_coverage_pct,94.0
2000-12-31,LTU,HepB3_coverage_pct,98.0
2000-12-31,LTU,MCV1_measles_coverage_pct,97.0
2000-12-31,LUX,DTP3_coverage_pct,99.0
2000-12-31,LUX,HepB3_coverage_pct,77.0
2000-12-31,LUX,MCV1_measles_coverage_pct,93.0
2000-12-31,LVA,BCG_coverage_pct,99.0
2000-12-31,LVA,DTP3_coverage_pct,96.0
2000-12-31,LVA,HepB3_coverage_pct,95.0
2000-12-31,LVA,MCV1_measles_coverage_pct,97.0
2000-12-31,MAR,BCG_coverage_pct,97.0
2000-12-31,MAR,DTP3_coverage_pct,95.0
2000-12-31,MAR,HepB3_coverage_pct,43.0
2000-12-31,MAR,MCV1_measles_coverage_pct,93.0
2000-12-31,MCO,BCG_coverage_pct,97.0
2000-12-31,MCO,DTP3_coverage_pct,99.0
2000-12-31,MCO,HepB3_coverage_pct,99.0
2000-12-31,MCO,MCV1_measles_coverage_pct,98.0
2000-12-31,MDA,BCG_coverage_pct,99.0
2000-12-31,MDA,DTP3_coverage_pct,95.0
2000-12-31,MDA,HepB3_coverage_pct,92.0
2000-12-31,MDA,MCV1_measles_coverage_pct,89.0
2000-12-31,MDG,BCG_coverage_pct,72.0
2000-12-31,MDG,DTP3_coverage_pct,57.0
2000-12-31,MDG,HepB3_coverage_pct,0.0
2000-12-31,MDG,MCV1_measles_coverage_pct,57.0
2000-12-31,MDV,BCG_coverage_pct,99.0
2000-12-31,MDV,DTP3_coverage_pct,98.0
2000-12-31,MDV,HepB3_coverage_pct,96.0
2000-12-31,MDV,MCV1_measles_coverage_pct,99.0
2000-12-31,MEX,BCG_coverage_pct,99.0
2000-12-31,MEX,DTP3_coverage_pct,97.0
2000-12-31,MEX,HepB3_coverage_pct,97.0
2000-12-31,MEX,MCV1_measles_coverage_pct,96.0
2000-12-31,MHL,BCG_coverage_pct,89.0
2000-12-31,MHL,DTP3_coverage_pct,39.0
2000-12-31,MHL,HepB3_coverage_pct,38.0
2000-12-31,MHL,MCV1_measles_coverage_pct,94.0
2000-12-31,MKD,BCG_coverage_pct,97.0
2000-12-31,MKD,DTP3_coverage_pct,95.0
2000-12-31,MKD,HepB3_coverage_pct,0.0
2000-12-31,MKD,MCV1_measles_coverage_pct,97.0
2000-12-31,MLI,BCG_coverage_pct,69.0
2000-12-31,MLI,DTP3_coverage_pct,43.0
2000-12-31,MLI,HepB3_coverage_pct,0.0
2000-12-31,MLI,MCV1_measles_coverage_pct,49.0
2000-12-31,MLT,DTP3_coverage_pct,94.0
2000-12-31,MLT,HepB3_coverage_pct,0.0
2000-12-31,MLT,MCV1_measles_coverage_pct,74.0
2000-12-31,MMR,BCG_coverage_pct,88.0
2000-12-31,MMR,DTP3_coverage_pct,82.0
2000-12-31,MMR,HepB3_coverage_pct,0.0
2000-12-31,MMR,MCV1_measles_coverage_pct,84.0
2000-12-31,MNG,BCG_coverage_pct,97.0
2000-12-31,MNG,DTP3_coverage_pct,94.0
2000-12-31,MNG,HepB3_coverage_pct,93.0
2000-12-31,MNG,MCV1_measles_coverage_pct,92.0
2000-12-31,MOZ,BCG_coverage_pct,84.0
2000-12-31,MOZ,DTP3_coverage_pct,70.0
2000-12-31,MOZ,HepB3_coverage_pct,0.0
2000-12-31,MOZ,MCV1_measles_coverage_pct,71.0
2000-12-31,MRT,BCG_coverage_pct,78.0
2000-12-31,MRT,DTP3_coverage_pct,51.0
2000-12-31,MRT,HepB3_coverage_pct,0.0
2000-12-31,MRT,MCV1_measles_coverage_pct,46.0
2000-12-31,MUS,BCG_coverage_pct,88.0
2000-12-31,MUS,DTP3_coverage_pct,88.0
2000-12-31,MUS,HepB3_coverage_pct,88.0
2000-12-31,MUS,MCV1_measles_coverage_pct,84.0
2000-12-31,MWI,BCG_coverage_pct,83.0
2000-12-31,MWI,DTP3_coverage_pct,75.0
2000-12-31,MWI,HepB3_coverage_pct,0.0
2000-12-31,MWI,MCV1_measles_coverage_pct,73.0
2000-12-31,MYS,BCG_coverage_pct,99.0
2000-12-31,MYS,DTP3_coverage_pct,98.0
2000-12-31,MYS,HepB3_coverage_pct,97.0
2000-12-31,MYS,MCV1_measles_coverage_pct,96.0
2000-12-31,NAM,BCG_coverage_pct,77.0
2000-12-31,NAM,DTP3_coverage_pct,79.0
2000-12-31,NAM,HepB3_coverage_pct,0.0
2000-12-31,NAM,MCV1_measles_coverage_pct,69.0
2000-12-31,NER,BCG_coverage_pct,50.0
2000-12-31,NER,DTP3_coverage_pct,34.0
2000-12-31,NER,HepB3_coverage_pct,0.0
2000-12-31,NER,MCV1_measles_coverage_pct,37.0
2000-12-31,NGA,BCG_coverage_pct,44.0
2000-12-31,NGA,DTP3_coverage_pct,29.0
2000-12-31,NGA,HepB3_coverage_pct,0.0
2000-12-31,NGA,MCV1_measles_coverage_pct,33.0
2000-12-31,NIC,BCG_coverage_pct,96.0
2000-12-31,NIC,DTP3_coverage_pct,83.0
2000-12-31,NIC,HepB3_coverage_pct,83.0
2000-12-31,NIC,MCV1_measles_coverage_pct,86.0
2000-12-31,NIU,BCG_coverage_pct,99.0
2000-12-31,NIU,DTP3_coverage_pct,99.0
2000-12-31,NIU,HepB3_coverage_pct,99.0
2000-12-31,NIU,MCV1_measles_coverage_pct,99.0
2000-12-31,NLD,DTP3_coverage_pct,97.0
2000-12-31,NLD,HepB3_coverage_pct,0.0
2000-12-31,NLD,MCV1_measles_coverage_pct,96.0
2000-12-31,NOR,DTP3_coverage_pct,90.0
2000-12-31,NOR,HepB3_coverage_pct,0.0
2000-12-31,NOR,MCV1_measles_coverage_pct,88.0
2000-12-31,NPL,BCG_coverage_pct,85.0
2000-12-31,NPL,DTP3_coverage_pct,74.0
2000-12-31,NPL,HepB3_coverage_pct,0.0
2000-12-31,NPL,MCV1_measles_coverage_pct,71.0
2000-12-31,NRU,BCG_coverage_pct,93.0
2000-12-31,NRU,DTP3_coverage_pct,44.0
2000-12-31,NRU,HepB3_coverage_pct,58.0
2000-12-31,NRU,MCV1_measles_coverage_pct,8.0
2000-12-31,NZL,DTP3_coverage_pct,90.0
2000-12-31,NZL,HepB3_coverage_pct,90.0
2000-12-31,NZL,MCV1_measles_coverage_pct,85.0
2000-12-31,OMN,BCG_coverage_pct,98.0
2000-12-31,OMN,DTP3_coverage_pct,99.0
